model,scenario_id,n_masts,shapley_source_evidence,shapley_sensor_visibility,shapley_wind_error_sensitivity,shapley_fit_quality,v_all_maps,v_no_maps,efficiency_residual
DeepSets,ch4t-test-000000,7,1.234295,0.269168,1.135879,0.511947,-4.948148,-8.099438,8.882e-16
DeepSets,ch4t-test-000001,5,0.466579,-1.795630,1.546093,-0.040795,-7.953944,-8.130192,5.551e-17
DeepSets,ch4t-test-000002,8,6.750600,-2.324539,-1.263382,0.380416,-4.330734,-7.873830,1.332e-15
DeepSets,ch4t-test-000003,5,2.939394,-0.977005,2.212371,-0.156608,-3.839405,-7.857557,8.882e-16
DeepSets,ch4t-test-000004,7,2.919219,0.414145,0.950208,0.326265,-3.153637,-7.763475,0.000e+00
DeepSets,ch4t-test-000005,8,1.667354,-0.978092,1.235219,-0.036104,-6.017247,-7.905624,2.220e-16
DeepSets,ch4t-test-000006,12,3.063155,0.844487,1.536465,0.058849,-2.641363,-8.144318,8.882e-16
DeepSets,ch4t-test-000007,5,6.262816,-0.965542,0.098820,0.333092,-2.622845,-8.352031,8.882e-16
DeepSets,ch4t-test-000008,9,-0.068231,0.375059,0.009365,-0.135263,-7.450847,-7.631776,2.776e-17
DeepSets,ch4t-test-000009,5,2.090665,-0.860192,1.540202,-0.609059,-6.238610,-8.400226,4.441e-16
DeepSets,ch4t-test-000010,8,1.251041,0.357840,0.821957,0.354719,-5.399328,-8.184885,0.000e+00
DeepSets,ch4t-test-000011,9,0.181753,-1.355018,0.669585,-0.466263,-8.739706,-7.769763,2.220e-16
DeepSets,ch4t-test-000012,7,0.416785,0.197942,0.608626,-0.121497,-6.320547,-7.422403,2.220e-16
DeepSets,ch4t-test-000013,7,3.372248,-0.987658,-0.389821,1.560026,-4.351745,-7.906540,8.882e-16
DeepSets,ch4t-test-000014,4,0.694134,-0.677442,0.938927,-0.657599,-8.160944,-8.458964,0.000e+00
DeepSets,ch4t-test-000015,7,0.067850,1.381624,0.143512,0.279409,-5.999760,-7.872155,2.220e-16
DeepSets,ch4t-test-000016,7,-0.239998,-0.202827,-0.109512,0.316366,-8.035901,-7.799931,1.110e-16
DeepSets,ch4t-test-000017,4,-0.154990,0.167214,-0.135906,0.238810,-8.548502,-8.663631,2.776e-17
DeepSets,ch4t-test-000018,9,3.038024,-1.418283,1.567950,0.110069,-4.850692,-8.148451,8.882e-16
DeepSets,ch4t-test-000019,4,-0.115360,0.329397,-0.057105,0.120039,-8.174282,-8.451254,0.000e+00
DeepSets,ch4t-test-000020,4,0.351523,0.672734,0.025782,0.414484,-7.113512,-8.578036,0.000e+00
DeepSets,ch4t-test-000021,8,1.519428,0.670015,0.262144,0.204980,-5.585077,-8.241643,0.000e+00
DeepSets,ch4t-test-000022,12,3.903856,-1.117892,-0.366618,0.570224,-4.924030,-7.913599,0.000e+00
DeepSets,ch4t-test-000023,5,0.530370,-0.865491,1.525633,0.313031,-5.957156,-7.460699,0.000e+00
DeepSets,ch4t-test-000024,8,0.315805,0.807375,0.321788,-0.019277,-6.734293,-8.159984,0.000e+00
DeepSets,ch4t-test-000025,10,3.106799,0.717814,0.067948,0.601072,-3.805445,-8.299079,0.000e+00
DeepSets,ch4t-test-000026,9,2.809894,-0.121189,-1.631383,-0.500733,-7.642430,-8.199019,1.110e-16
DeepSets,ch4t-test-000027,9,-0.212100,1.115229,0.220976,-0.066873,-6.955504,-8.012735,0.000e+00
DeepSets,ch4t-test-000028,8,0.633309,-1.097265,1.204149,-0.238891,-7.642228,-8.143529,2.220e-16
DeepSets,ch4t-test-000029,10,3.477106,0.188527,0.702503,0.352455,-3.241142,-7.961733,0.000e+00
DeepSets,ch4t-test-000030,12,1.769842,-0.571485,1.207596,0.137258,-5.127053,-7.670264,4.441e-16
DeepSets,ch4t-test-000031,8,-0.009159,-2.481269,0.885254,-0.089046,-9.328828,-7.634608,2.220e-16
DeepSets,ch4t-test-000032,4,-0.041660,0.848108,-0.249744,-0.150648,-7.869922,-8.275978,0.000e+00
DeepSets,ch4t-test-000033,8,2.532458,0.573100,0.528793,0.807344,-3.889405,-8.331099,0.000e+00
DeepSets,ch4t-test-000034,5,-0.045356,0.664141,-0.241985,-0.095301,-7.801678,-8.083176,0.000e+00
DeepSets,ch4t-test-000035,9,0.284771,-1.585921,1.749554,-0.577876,-7.898762,-7.769290,5.551e-16
DeepSets,ch4t-test-000036,7,1.254018,0.130866,0.552275,0.236951,-5.858380,-8.032490,0.000e+00
DeepSets,ch4t-test-000037,4,5.082003,-0.801900,-0.678883,0.626627,-3.781183,-8.009032,0.000e+00
DeepSets,ch4t-test-000038,9,1.724904,0.359366,-0.483633,0.806292,-5.230185,-7.637113,4.441e-16
DeepSets,ch4t-test-000039,11,0.152008,1.140715,0.305586,-0.056553,-6.028865,-7.570621,2.220e-16
DeepSets,ch4t-test-000040,11,3.338942,-1.049651,-0.356134,0.953893,-5.141291,-8.028341,4.441e-16
DeepSets,ch4t-test-000041,5,1.618325,0.136199,0.463226,0.486956,-5.658326,-8.363032,0.000e+00
DeepSets,ch4t-test-000042,11,1.562073,1.538669,0.366418,0.478788,-4.238670,-8.184619,0.000e+00
DeepSets,ch4t-test-000043,5,0.890640,0.387094,0.071380,0.678112,-5.877549,-7.904775,0.000e+00
DeepSets,ch4t-test-000044,11,1.594217,0.834127,0.679477,0.371592,-4.724428,-8.203841,0.000e+00
DeepSets,ch4t-test-000045,11,5.582910,-0.470259,-1.597756,0.647934,-3.648085,-7.810914,0.000e+00
DeepSets,ch4t-test-000046,7,1.657972,0.596111,0.195844,0.280514,-5.287579,-8.018020,0.000e+00
DeepSets,ch4t-test-000047,7,2.594081,0.549903,0.876367,0.841667,-3.093246,-7.955265,8.882e-16
DeepSets,ch4t-test-000048,5,-0.053295,1.001537,-0.132528,-0.077553,-7.093278,-7.831439,2.220e-16
DeepSets,ch4t-test-000049,9,-0.600239,-1.162539,0.331928,0.092131,-9.049327,-7.710608,2.220e-16
DeepSets,ch4t-test-000050,5,0.103795,1.564438,-0.368210,0.230011,-6.167177,-7.697211,0.000e+00
DeepSets,ch4t-test-000051,10,2.073090,0.009392,0.977275,0.416174,-4.827891,-8.303821,8.882e-16
DeepSets,ch4t-test-000052,11,-0.226624,1.576562,-0.516581,0.225753,-6.226600,-7.285710,0.000e+00
DeepSets,ch4t-test-000053,4,-0.032527,1.037065,-0.198707,-0.077253,-7.357249,-8.085827,1.110e-16
DeepSets,ch4t-test-000054,12,3.424019,-0.079560,0.007136,0.909663,-4.077089,-8.338347,8.882e-16
DeepSets,ch4t-test-000055,5,6.579088,-1.668745,-1.731695,0.695286,-3.856236,-7.730169,4.441e-16
DeepSets,ch4t-test-000056,6,2.114792,-0.777774,-0.263582,0.235931,-6.654252,-7.963619,2.220e-16
DeepSets,ch4t-test-000057,4,0.547053,0.621258,1.488944,0.573983,-5.461394,-8.692631,0.000e+00
DeepSets,ch4t-test-000058,6,5.669863,-1.608574,-1.811307,0.492280,-4.810156,-7.552417,0.000e+00
DeepSets,ch4t-test-000059,4,-0.199457,0.154868,-0.178117,0.007364,-8.679634,-8.464291,0.000e+00
DeepSets,ch4t-test-000060,8,-0.312712,-1.003136,-0.094186,-0.028315,-9.268980,-7.830631,0.000e+00
DeepSets,ch4t-test-000061,7,0.431365,-0.102836,0.814894,-0.060354,-7.186256,-8.269325,0.000e+00
DeepSets,ch4t-test-000062,11,1.478750,0.161147,0.277809,0.964243,-4.812667,-7.694617,0.000e+00
DeepSets,ch4t-test-000063,6,0.408801,0.278486,0.972199,-0.293188,-7.208253,-8.574552,2.220e-16
DeepSets,ch4t-test-000064,7,2.764524,-0.118173,0.386671,0.738575,-4.309387,-8.080982,4.441e-16
DeepSets,ch4t-test-000065,6,0.255351,0.357892,0.144400,-0.018391,-7.342045,-8.081297,0.000e+00
DeepSets,ch4t-test-000066,6,0.087769,-1.328922,1.515842,-0.826949,-8.498103,-7.945843,1.110e-16
DeepSets,ch4t-test-000067,5,1.887161,0.331138,0.519149,0.727979,-4.152315,-7.617742,0.000e+00
DeepSets,ch4t-test-000068,11,1.034258,-0.112689,1.171739,0.376099,-5.278472,-7.747880,4.441e-16
DeepSets,ch4t-test-000069,8,4.676599,-1.185046,0.035905,0.242634,-4.415986,-8.186078,1.332e-15
DeepSets,ch4t-test-000070,6,0.955277,-0.096199,0.689051,0.506936,-5.685189,-7.740254,0.000e+00
DeepSets,ch4t-test-000071,11,1.234981,1.217270,0.035632,0.812241,-4.770318,-8.070442,0.000e+00
DeepSets,ch4t-test-000072,11,0.329754,0.389774,0.619584,0.061413,-6.474459,-7.874983,0.000e+00
DeepSets,ch4t-test-000073,7,-0.150143,-0.785402,-0.038773,0.409582,-8.494533,-7.929797,1.110e-16
DeepSets,ch4t-test-000074,10,1.572882,-0.140806,0.714038,0.477725,-4.651997,-7.275835,0.000e+00
DeepSets,ch4t-test-000075,9,-1.967101,-1.574467,0.741061,-0.771393,-11.143055,-7.571155,0.000e+00
DeepSets,ch4t-test-000076,7,0.917845,0.156622,0.217667,0.422933,-6.055247,-7.770315,0.000e+00
DeepSets,ch4t-test-000077,5,0.734851,0.262901,-0.067879,0.542606,-6.206874,-7.679353,0.000e+00
DeepSets,ch4t-test-000078,11,1.240192,0.822903,0.526274,0.100035,-5.168038,-7.857442,4.441e-16
DeepSets,ch4t-test-000079,11,2.992636,0.035305,0.603006,0.392882,-3.936240,-7.960069,8.882e-16
DeepSets,ch4t-test-000080,6,2.083418,-1.207823,2.121428,-0.083943,-4.633728,-7.546808,4.441e-16
DeepSets,ch4t-test-000081,12,3.739051,-0.516611,0.795027,0.113356,-3.921237,-8.052059,8.882e-16
DeepSets,ch4t-test-000082,6,0.187870,-0.922613,0.996302,-0.132530,-7.788856,-7.917886,8.327e-17
DeepSets,ch4t-test-000083,12,1.930098,0.087794,0.862356,0.562416,-4.902348,-8.345012,4.441e-16
DeepSets,ch4t-test-000084,6,1.056854,0.569917,0.129172,0.971113,-5.257620,-7.984677,0.000e+00
DeepSets,ch4t-test-000085,6,3.980132,-0.004076,-1.066000,0.917983,-4.437029,-8.265069,0.000e+00
DeepSets,ch4t-test-000086,5,-0.493022,-0.821483,0.233399,0.648095,-7.907573,-7.474562,1.110e-16
DeepSets,ch4t-test-000087,5,0.785639,1.007970,0.735556,0.233981,-5.373672,-8.136819,0.000e+00
DeepSets,ch4t-test-000088,6,0.183269,0.037674,1.026103,-0.010440,-6.447416,-7.684022,2.220e-16
DeepSets,ch4t-test-000089,12,2.065305,-0.352853,-0.261412,0.528823,-6.073861,-8.053724,2.220e-16
DeepSets,ch4t-test-000090,4,-0.451705,-0.622436,0.781318,-0.718446,-9.072500,-8.061231,0.000e+00
DeepSets,ch4t-test-000091,8,-0.001593,0.506894,0.038668,0.091088,-7.358649,-7.993706,0.000e+00
DeepSets,ch4t-test-000092,5,0.187232,-0.104347,-0.009907,-0.082098,-8.284029,-8.274909,8.327e-17
DeepSets,ch4t-test-000093,8,3.984909,-0.793328,0.048404,0.583864,-4.435328,-8.259178,0.000e+00
DeepSets,ch4t-test-000094,7,0.332137,-0.865345,0.313987,-0.183749,-8.442126,-8.039155,5.551e-17
DeepSets,ch4t-test-000095,5,-0.068615,0.579907,-0.092420,0.151234,-7.173741,-7.743847,0.000e+00
DeepSets,ch4t-test-000096,10,1.557720,-0.052345,0.790175,0.124668,-5.488568,-7.908786,4.441e-16
DeepSets,ch4t-test-000097,9,2.195827,-0.435552,0.617287,0.573255,-4.728781,-7.679598,4.441e-16
DeepSets,ch4t-test-000098,11,0.032706,0.972219,-0.138820,-0.185642,-7.420295,-8.100759,1.110e-16
DeepSets,ch4t-test-000099,9,-0.070833,0.969066,-0.057734,-0.192253,-7.337098,-7.985343,0.000e+00
DeepSets,ch4t-test-000100,5,5.293348,-2.380818,-1.180082,0.378471,-5.926379,-8.037298,4.441e-16
DeepSets,ch4t-test-000101,6,-0.081673,0.937410,-0.170713,-0.046253,-7.954793,-8.593564,1.110e-16
DeepSets,ch4t-test-000102,4,1.793118,-0.066652,1.045654,0.376703,-4.501548,-7.650371,8.882e-16
DeepSets,ch4t-test-000103,6,4.591837,-1.557192,-0.655242,1.550688,-4.125348,-8.055439,0.000e+00
DeepSets,ch4t-test-000104,11,1.520211,-0.293410,1.355449,0.265940,-5.092086,-7.940274,0.000e+00
DeepSets,ch4t-test-000105,5,-0.017912,1.291628,-0.300789,0.177781,-6.712414,-7.863122,2.220e-16
DeepSets,ch4t-test-000106,7,-0.004810,1.852246,-0.137350,0.034015,-5.979432,-7.723532,0.000e+00
DeepSets,ch4t-test-000107,10,4.612332,-1.165240,-1.645491,1.292738,-4.627790,-7.722129,8.882e-16
DeepSets,ch4t-test-000108,6,0.805038,-1.028343,1.153374,-0.181071,-6.962251,-7.711250,2.220e-16
DeepSets,ch4t-test-000109,9,0.873569,0.760362,1.224952,0.490409,-4.463291,-7.812583,0.000e+00
DeepSets,ch4t-test-000110,5,-0.036595,-0.051363,-0.061049,0.232049,-7.420469,-7.503512,2.776e-17
DeepSets,ch4t-test-000111,5,0.704218,0.454755,0.480512,-0.139194,-6.802149,-8.302440,2.220e-16
DeepSets,ch4t-test-000112,5,-0.018259,0.207324,0.003243,0.082616,-8.577885,-8.852809,0.000e+00
DeepSets,ch4t-test-000113,5,-0.095710,-0.403609,0.466117,-0.425423,-8.665891,-8.207267,0.000e+00
DeepSets,ch4t-test-000114,9,2.902544,-0.071912,1.547015,0.179751,-3.350705,-7.908104,0.000e+00
DeepSets,ch4t-test-000115,10,2.384431,0.556637,0.602589,0.887297,-3.702864,-8.133818,0.000e+00
DeepSets,ch4t-test-000116,7,4.037710,-1.101537,-0.780116,1.292943,-3.946859,-7.395860,0.000e+00
DeepSets,ch4t-test-000117,6,3.706314,-0.696168,0.300762,0.161375,-4.407579,-7.879863,0.000e+00
DeepSets,ch4t-test-000118,4,1.521915,-0.009508,0.878141,0.907152,-4.776671,-8.074371,0.000e+00
DeepSets,ch4t-test-000119,12,0.153661,-0.737132,0.098469,0.013978,-8.346407,-7.875384,1.110e-16
DeepSets,ch4t-test-000120,5,1.268959,0.455171,0.104701,0.732214,-5.291083,-7.852129,0.000e+00
DeepSets,ch4t-test-000121,10,5.109672,-0.836486,-0.788485,0.945552,-3.488431,-7.918684,8.882e-16
DeepSets,ch4t-test-000122,11,1.270530,0.256997,0.836646,0.149978,-5.233686,-7.747837,0.000e+00
DeepSets,ch4t-test-000123,7,0.216621,1.385223,0.474974,0.226605,-5.441899,-7.745322,0.000e+00
DeepSets,ch4t-test-000124,10,0.198397,1.151701,0.298659,0.126851,-6.045370,-7.820978,2.220e-16
DeepSets,ch4t-test-000125,7,2.446476,-0.159716,0.762970,0.750258,-4.210309,-8.010296,4.441e-16
DeepSets,ch4t-test-000126,6,0.143338,0.497262,0.307574,0.092946,-6.623937,-7.665058,0.000e+00
DeepSets,ch4t-test-000127,6,-0.128850,1.010816,-0.055379,0.102674,-6.736353,-7.665613,0.000e+00
DeepSets,ch4t-test-000128,6,3.176638,-0.323324,-0.006605,0.966987,-4.184018,-7.997714,8.882e-16
DeepSets,ch4t-test-000129,5,4.077010,-1.070025,-0.699639,1.219435,-4.623647,-8.150428,0.000e+00
DeepSets,ch4t-test-000130,5,0.687628,0.713139,0.135881,0.696790,-6.021787,-8.255224,0.000e+00
DeepSets,ch4t-test-000131,12,-0.026185,1.082877,0.099468,-0.324301,-6.915746,-7.747606,1.110e-16
DeepSets,ch4t-test-000132,8,0.959975,1.230726,0.622212,-0.010689,-5.184497,-7.986721,0.000e+00
DeepSets,ch4t-test-000133,5,1.284481,0.347763,0.393285,0.599337,-6.135746,-8.760612,0.000e+00
DeepSets,ch4t-test-000134,6,1.945696,-0.454682,0.829826,0.630853,-5.129841,-8.081533,0.000e+00
DeepSets,ch4t-test-000135,7,0.037214,0.571952,-0.050899,-0.080573,-7.674278,-8.151973,5.551e-17
DeepSets,ch4t-test-000136,8,-0.026508,1.112361,-0.062500,0.074251,-6.875309,-7.972914,2.220e-16
DeepSets,ch4t-test-000137,12,-0.009730,0.631179,-0.011644,0.195437,-7.309208,-8.114451,1.110e-16
DeepSets,ch4t-test-000138,11,5.804677,-1.040161,-1.056199,1.369942,-3.048436,-8.126695,1.776e-15
DeepSets,ch4t-test-000139,12,2.170432,-0.747973,1.465340,-0.054827,-5.266961,-8.099934,4.441e-16
DeepSets,ch4t-test-000140,11,-0.010033,0.462429,1.184617,0.002009,-5.853831,-7.492853,2.220e-16
DeepSets,ch4t-test-000141,7,3.835617,-1.588438,-0.768108,0.352789,-6.245244,-8.077103,2.220e-16
DeepSets,ch4t-test-000142,10,-0.045030,1.087298,-0.064641,0.202626,-6.751324,-7.931577,2.220e-16
DeepSets,ch4t-test-000143,5,0.615295,-0.285853,0.823299,0.569585,-6.641979,-8.364305,2.220e-16
DeepSets,ch4t-test-000144,12,1.140291,0.200506,0.052787,1.165489,-5.598003,-8.157076,0.000e+00
DeepSets,ch4t-test-000145,10,2.270905,0.089310,0.927370,0.473397,-3.931753,-7.692736,0.000e+00
DeepSets,ch4t-test-000146,12,2.252368,-0.271126,1.195635,0.747631,-4.011143,-7.935650,4.441e-16
DeepSets,ch4t-test-000147,10,3.934598,-0.093254,-0.108650,0.819703,-3.348163,-7.900559,8.882e-16
DeepSets,ch4t-test-000148,12,2.367715,1.152799,0.579663,0.864053,-3.097045,-8.061275,0.000e+00
DeepSets,ch4t-test-000149,6,-0.080596,0.314324,-0.286264,0.131018,-8.176359,-8.254841,5.551e-17
DeepSets,ch4t-test-000150,10,4.084035,-1.177955,-0.748853,0.791937,-4.851592,-7.800755,0.000e+00
DeepSets,ch4t-test-000151,10,0.936763,0.462544,1.395198,0.277118,-4.843106,-7.914729,0.000e+00
DeepSets,ch4t-test-000152,7,0.694438,0.342859,0.779354,0.343350,-5.687227,-7.847228,0.000e+00
DeepSets,ch4t-test-000153,12,0.362292,-0.070045,1.897600,0.110805,-5.461535,-7.762186,0.000e+00
DeepSets,ch4t-test-000154,9,2.318378,1.052505,0.702092,0.583269,-3.020984,-7.677229,8.882e-16
DeepSets,ch4t-test-000155,8,1.000297,0.443382,1.370092,-0.092426,-4.940387,-7.661731,0.000e+00
DeepSets,ch4t-test-000156,6,0.040892,-0.459269,0.143978,-0.213782,-8.248202,-7.760021,0.000e+00
DeepSets,ch4t-test-000157,11,2.117514,-0.382649,1.519706,0.092790,-4.774161,-8.121521,8.882e-16
