model,scenario_id,n_masts,shapley_source_evidence,shapley_sensor_visibility,shapley_wind_error_sensitivity,featval_source_evidence,featval_sensor_visibility,featval_wind_error_sensitivity,v_all_maps,v_no_maps,efficiency_residual
DeepSets,ch4t-test-000000,6,0.339310,-0.062955,0.479978,0.637727,0.664518,1.363644,-4.130918,-4.887250,0.000e+00
DeepSets,ch4t-test-000001,4,-0.043671,-0.113098,0.161181,0.942629,0.220189,1.585843,-6.355829,-6.360242,2.776e-17
DeepSets,ch4t-test-000002,6,4.118458,-1.159794,-1.176837,2.151335,-0.560630,1.432217,-2.850417,-4.632244,0.000e+00
DeepSets,ch4t-test-000003,5,1.819680,-0.004753,-0.569568,0.809028,-0.470753,1.020843,-3.254283,-4.499642,2.220e-16
DeepSets,ch4t-test-000004,6,1.686137,0.034992,-0.296835,0.420327,0.880178,0.402675,-3.994777,-5.419070,2.220e-16
DeepSets,ch4t-test-000005,6,0.732676,0.150878,0.137984,0.822973,0.133216,1.305014,-5.374080,-6.395618,0.000e+00
DeepSets,ch4t-test-000006,8,1.180568,-0.131481,0.094559,0.222705,-0.008838,0.434744,-3.635272,-4.778919,0.000e+00
DeepSets,ch4t-test-000007,5,4.705552,-1.394644,-0.357235,0.228273,-1.132776,0.189003,-2.150835,-5.104508,8.882e-16
DeepSets,ch4t-test-000008,6,0.340387,0.366410,-0.076588,0.131892,0.855553,0.159724,-6.792920,-7.423129,0.000e+00
DeepSets,ch4t-test-000009,4,0.804703,0.248607,-0.583058,0.845038,-0.812864,1.616322,-5.896760,-6.367013,0.000e+00
DeepSets,ch4t-test-000010,6,0.986264,0.470127,0.398119,0.641779,0.819704,0.987655,-5.458237,-7.312747,0.000e+00
DeepSets,ch4t-test-000011,6,0.001117,-1.008782,0.358202,0.057311,0.003176,0.119267,-9.822064,-9.172602,1.110e-16
DeepSets,ch4t-test-000012,5,-0.754962,-0.392140,0.619603,0.104189,0.600659,0.220905,-7.574084,-7.046585,0.000e+00
