=== train distill lambda=1.0 blur=0.75 (tempered teacher) ===
distill seed 1: 4.87M params
/usr4/spclpgm/eric1/conformal-source-regions/src/train.py:231: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  tot_loss += float(loss)
epoch   0 loss 8.2899 val_nll 8.2559 best 8.2559@0
epoch   1 loss 8.2322 val_nll 8.2048 best 8.2048@1
epoch   2 loss 8.1634 val_nll 8.1295 best 8.1295@2
epoch   3 loss 8.1282 val_nll 8.1172 best 8.1172@3
epoch   4 loss 8.1090 val_nll 8.1058 best 8.1058@4
epoch   5 loss 8.0814 val_nll 8.0461 best 8.0461@5
epoch   6 loss 7.9260 val_nll 7.7915 best 7.7915@6
epoch   7 loss 7.6154 val_nll 7.5205 best 7.5205@7
epoch   8 loss 7.4065 val_nll 7.3647 best 7.3647@8
epoch   9 loss 7.2887 val_nll 7.3067 best 7.3067@9
epoch  10 loss 7.1966 val_nll 7.1796 best 7.1796@10
epoch  11 loss 7.1040 val_nll 7.1399 best 7.1399@11
epoch  12 loss 7.0467 val_nll 7.0941 best 7.0941@12
epoch  13 loss 6.9905 val_nll 7.0189 best 7.0189@13
epoch  14 loss 6.9461 val_nll 6.9676 best 6.9676@14
epoch  15 loss 6.8878 val_nll 6.9393 best 6.9393@15
epoch  16 loss 6.8551 val_nll 6.9250 best 6.9250@16
epoch  17 loss 6.8220 val_nll 6.8785 best 6.8785@17
epoch  18 loss 6.7970 val_nll 6.8637 best 6.8637@18
epoch  19 loss 6.7808 val_nll 6.8518 best 6.8518@19
epoch  20 loss 6.7279 val_nll 6.8277 best 6.8277@20
epoch  21 loss 6.7040 val_nll 6.7832 best 6.7832@21
epoch  22 loss 6.6659 val_nll 6.7613 best 6.7613@22
epoch  23 loss 6.6564 val_nll 6.7271 best 6.7271@23
epoch  24 loss 6.6376 val_nll 6.7256 best 6.7256@24
epoch  25 loss 6.6319 val_nll 6.7239 best 6.7239@25
epoch  26 loss 6.5969 val_nll 6.6892 best 6.6892@26
epoch  28 loss 6.5605 val_nll 6.6782 best 6.6782@28
epoch  30 loss 6.5215 val_nll 6.6409 best 6.6409@30
epoch  32 loss 6.4985 val_nll 6.5887 best 6.5887@32
epoch  34 loss 6.4699 val_nll 6.5864 best 6.5864@34
epoch  37 loss 6.4139 val_nll 6.5804 best 6.5804@37
epoch  38 loss 6.4247 val_nll 6.5726 best 6.5726@38
epoch  39 loss 6.4040 val_nll 6.5407 best 6.5407@39
epoch  40 loss 6.3845 val_nll 6.5147 best 6.5147@40
epoch  43 loss 6.3693 val_nll 6.5023 best 6.5023@43
epoch  46 loss 6.3350 val_nll 6.4990 best 6.4990@46
epoch  47 loss 6.3083 val_nll 6.4861 best 6.4861@47
epoch  48 loss 6.3050 val_nll 6.4837 best 6.4837@48
epoch  50 loss 6.2869 val_nll 6.4605 best 6.4605@50
epoch  53 loss 6.2760 val_nll 6.4517 best 6.4517@53
epoch  54 loss 6.2491 val_nll 6.4258 best 6.4258@54
epoch  60 loss 6.1913 val_nll 6.4306 best 6.4258@54
epoch  61 loss 6.2092 val_nll 6.4063 best 6.4063@61
epoch  63 loss 6.1775 val_nll 6.3916 best 6.3916@63
epoch  65 loss 6.1655 val_nll 6.3895 best 6.3895@65
epoch  68 loss 6.1436 val_nll 6.3855 best 6.3855@68
epoch  69 loss 6.1320 val_nll 6.3797 best 6.3797@69
epoch  70 loss 6.1336 val_nll 6.3679 best 6.3679@70
epoch  75 loss 6.1093 val_nll 6.3512 best 6.3512@75
epoch  76 loss 6.0834 val_nll 6.3477 best 6.3477@76
epoch  80 loss 6.0456 val_nll 6.3472 best 6.3472@80
epoch  81 loss 6.0499 val_nll 6.3462 best 6.3462@81
epoch  83 loss 6.0473 val_nll 6.3309 best 6.3309@83
epoch  85 loss 6.0109 val_nll 6.3304 best 6.3304@85
epoch  90 loss 6.0093 val_nll 6.3382 best 6.3304@85
epoch  93 loss 5.9672 val_nll 6.3294 best 6.3294@93
epoch  96 loss 5.9529 val_nll 6.3293 best 6.3293@96
epoch  97 loss 5.9729 val_nll 6.3054 best 6.3054@97
epoch 100 loss 5.9302 val_nll 6.3170 best 6.3054@97
epoch 107 loss 5.8763 val_nll 6.2956 best 6.2956@107
epoch 110 loss 5.8879 val_nll 6.2904 best 6.2904@110
epoch 112 loss 5.8704 val_nll 6.2853 best 6.2853@112
