NPEFlow params: 0.73M
  ep 0 val_nll -0.2182
  ep 20 val_nll -0.5657
  ep 40 val_nll -1.1388
  ep 60 val_nll -1.5046
  ep 80 val_nll -1.6496
  ep 100 val_nll -1.8036
  ep 120 val_nll -1.8716
  ep 140 val_nll -1.9528
  ep 160 val_nll -2.0880
  ep 180 val_nll -2.1115
  ep 200 val_nll -2.1736
  ep 220 val_nll -2.1342
  ep 240 val_nll -2.1801
  ep 260 val_nll -2.2132
  ep 280 val_nll -2.2388
  ep 300 val_nll -2.2696
  ep 320 val_nll -2.2920
  ep 340 val_nll -2.3394
  ep 360 val_nll -2.3501
  ep 380 val_nll -2.3336
  ep 400 val_nll -2.3508
  ep 420 val_nll -2.3636
  ep 440 val_nll -2.3438
  ep 460 val_nll -2.3398
  ep 480 val_nll -2.3603
cell-mass normalization drift: 2.98e-06
{"tag": "flow_npe_fair_seed1", "coverage": 0.901, "median_radius_m": 71.20907554390428, "wilcoxon_p_vs_M1": 1.0519840455287528e-167, "frac_sharper_than_M1": 0.7995, "norm_drift": 2.9788685746989785e-06}
NPEFlow params: 0.73M
  ep 0 val_nll -0.2602
  ep 20 val_nll -0.8848
  ep 40 val_nll -1.4426
  ep 60 val_nll -1.6533
  ep 80 val_nll -1.8351
  ep 100 val_nll -1.9739
  ep 120 val_nll -2.0715
  ep 140 val_nll -1.9821
  ep 160 val_nll -2.2966
  ep 180 val_nll -2.3438
  ep 200 val_nll -2.3037
  ep 220 val_nll -2.2996
  ep 240 val_nll -2.3476
  ep 260 val_nll -2.3062
  ep 280 val_nll -2.3092
  ep 300 val_nll -2.3488
  ep 320 val_nll -2.3811
  ep 340 val_nll -2.3024
  ep 360 val_nll -2.3783
  ep 380 val_nll -2.3574
  ep 400 val_nll -2.3307
  ep 420 val_nll -2.2468
  ep 440 val_nll -2.2388
  ep 460 val_nll -2.2317
  ep 480 val_nll -2.1907
cell-mass normalization drift: 2.07e-06
{"tag": "flow_npe_fair_seed2", "coverage": 0.9015, "median_radius_m": 62.80050165999407, "wilcoxon_p_vs_M1": 9.486343452389364e-230, "frac_sharper_than_M1": 0.8585, "norm_drift": 2.0661185576864582e-06}
FAIRFLOW DONE
