== M0 seed 3 ==
baseline seed 3: 4.87M params
/usr4/spclpgm/eric1/conformal-source-regions/src/train.py:284: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  tot_loss += float(loss)
epoch   0 loss 8.0874 val_nll 7.9571 best 7.9571@0
epoch   2 loss 7.9753 val_nll 7.9566 best 7.9566@2
epoch   3 loss 7.9692 val_nll 7.9549 best 7.9549@3
epoch   4 loss 7.9606 val_nll 7.9370 best 7.9370@4
epoch   5 loss 7.9608 val_nll 7.9280 best 7.9280@5
epoch   7 loss 7.9431 val_nll 7.9106 best 7.9106@7
epoch   8 loss 7.9201 val_nll 7.8857 best 7.8857@8
epoch   9 loss 7.8291 val_nll 7.8179 best 7.8179@9
epoch  10 loss 7.7190 val_nll 7.6956 best 7.6956@10
epoch  11 loss 7.5404 val_nll 7.4229 best 7.4229@11
epoch  12 loss 7.3134 val_nll 7.2630 best 7.2630@12
epoch  13 loss 7.1699 val_nll 7.1489 best 7.1489@13
epoch  14 loss 7.0595 val_nll 7.0586 best 7.0586@14
epoch  15 loss 6.9918 val_nll 6.9909 best 6.9909@15
epoch  16 loss 6.9220 val_nll 6.9362 best 6.9362@16
epoch  17 loss 6.8604 val_nll 6.8658 best 6.8658@17
epoch  19 loss 6.7883 val_nll 6.8111 best 6.8111@19
epoch  20 loss 6.7530 val_nll 6.7758 best 6.7758@20
epoch  21 loss 6.7141 val_nll 6.7671 best 6.7671@21
epoch  22 loss 6.6867 val_nll 6.7276 best 6.7276@22
epoch  23 loss 6.6516 val_nll 6.7238 best 6.7238@23
epoch  24 loss 6.6214 val_nll 6.6898 best 6.6898@24
epoch  25 loss 6.6016 val_nll 6.6420 best 6.6420@25
epoch  28 loss 6.5445 val_nll 6.5963 best 6.5963@28
epoch  30 loss 6.4958 val_nll 6.5574 best 6.5574@30
epoch  31 loss 6.4762 val_nll 6.5528 best 6.5528@31
epoch  33 loss 6.4472 val_nll 6.5512 best 6.5512@33
epoch  34 loss 6.4160 val_nll 6.5075 best 6.5075@34
epoch  35 loss 6.3979 val_nll 6.4901 best 6.4901@35
epoch  37 loss 6.3692 val_nll 6.4855 best 6.4855@37
epoch  38 loss 6.3519 val_nll 6.4696 best 6.4696@38
epoch  40 loss 6.3277 val_nll 6.4751 best 6.4696@38
epoch  41 loss 6.3059 val_nll 6.4580 best 6.4580@41
epoch  42 loss 6.3089 val_nll 6.4562 best 6.4562@42
epoch  43 loss 6.2944 val_nll 6.4449 best 6.4449@43
epoch  44 loss 6.2717 val_nll 6.4317 best 6.4317@44
epoch  45 loss 6.2607 val_nll 6.4206 best 6.4206@45
epoch  47 loss 6.2256 val_nll 6.4196 best 6.4196@47
epoch  48 loss 6.2294 val_nll 6.4046 best 6.4046@48
epoch  49 loss 6.2117 val_nll 6.3901 best 6.3901@49
epoch  50 loss 6.1904 val_nll 6.3887 best 6.3887@50
epoch  51 loss 6.1694 val_nll 6.3725 best 6.3725@51
epoch  52 loss 6.1669 val_nll 6.3644 best 6.3644@52
epoch  54 loss 6.1569 val_nll 6.3628 best 6.3628@54
epoch  56 loss 6.1195 val_nll 6.3482 best 6.3482@56
epoch  57 loss 6.1157 val_nll 6.3427 best 6.3427@57
epoch  60 loss 6.0776 val_nll 6.3365 best 6.3365@60
epoch  62 loss 6.0703 val_nll 6.3322 best 6.3322@62
epoch  63 loss 6.0544 val_nll 6.3182 best 6.3182@63
epoch  64 loss 6.0429 val_nll 6.3119 best 6.3119@64
epoch  70 loss 5.9912 val_nll 6.3377 best 6.3119@64
epoch  71 loss 5.9651 val_nll 6.3072 best 6.3072@71
epoch  73 loss 5.9504 val_nll 6.3007 best 6.3007@73
epoch  79 loss 5.8806 val_nll 6.2976 best 6.2976@79
epoch  80 loss 5.8858 val_nll 6.3047 best 6.2976@79
epoch  85 loss 5.8424 val_nll 6.2797 best 6.2797@85
epoch  90 loss 5.7971 val_nll 6.3204 best 6.2797@85
epoch 100 loss 5.7072 val_nll 6.3212 best 6.2797@85
epoch 110 loss 5.6368 val_nll 6.3272 best 6.2797@85
early stop at epoch 110
[G2] seed3: val MAP mean 0.1755 median 0.1042 | peak-sensor mean 0.3665 median 0.3458 | 0.01 GPU-h
== M1 seeds 2, 3 ==
distill seed 2: 4.87M params
/usr4/spclpgm/eric1/conformal-source-regions/src/train.py:284: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  tot_loss += float(loss)
epoch   0 loss 8.2849 val_nll 8.2427 best 8.2427@0
epoch   1 loss 8.2006 val_nll 8.1632 best 8.1632@1
epoch   2 loss 8.1363 val_nll 8.1332 best 8.1332@2
epoch   3 loss 8.1136 val_nll 8.1056 best 8.1056@3
epoch   4 loss 8.0696 val_nll 8.0261 best 8.0261@4
epoch   5 loss 7.8816 val_nll 7.7250 best 7.7250@5
epoch   6 loss 7.5592 val_nll 7.4797 best 7.4797@6
epoch   7 loss 7.3489 val_nll 7.3432 best 7.3432@7
epoch   8 loss 7.2421 val_nll 7.2665 best 7.2665@8
epoch   9 loss 7.1649 val_nll 7.1764 best 7.1764@9
epoch  10 loss 7.0743 val_nll 7.1277 best 7.1277@10
epoch  11 loss 7.0215 val_nll 7.0690 best 7.0690@11
epoch  12 loss 6.9654 val_nll 6.9958 best 6.9958@12
epoch  15 loss 6.8487 val_nll 6.8809 best 6.8809@15
epoch  16 loss 6.8048 val_nll 6.8605 best 6.8605@16
epoch  17 loss 6.7778 val_nll 6.8217 best 6.8217@17
epoch  18 loss 6.7355 val_nll 6.8090 best 6.8090@18
epoch  19 loss 6.7126 val_nll 6.7762 best 6.7762@19
epoch  20 loss 6.6971 val_nll 6.7589 best 6.7589@20
epoch  22 loss 6.6480 val_nll 6.7259 best 6.7259@22
epoch  23 loss 6.6320 val_nll 6.7129 best 6.7129@23
epoch  24 loss 6.5840 val_nll 6.7037 best 6.7037@24
epoch  25 loss 6.5898 val_nll 6.7013 best 6.7013@25
epoch  26 loss 6.5792 val_nll 6.6765 best 6.6765@26
epoch  27 loss 6.5411 val_nll 6.6674 best 6.6674@27
epoch  28 loss 6.5281 val_nll 6.6310 best 6.6310@28
epoch  30 loss 6.4745 val_nll 6.6205 best 6.6205@30
epoch  31 loss 6.4753 val_nll 6.6013 best 6.6013@31
epoch  32 loss 6.4668 val_nll 6.5730 best 6.5730@32
epoch  35 loss 6.4148 val_nll 6.5494 best 6.5494@35
epoch  36 loss 6.4224 val_nll 6.5490 best 6.5490@36
epoch  37 loss 6.4020 val_nll 6.5469 best 6.5469@37
epoch  38 loss 6.3949 val_nll 6.5274 best 6.5274@38
epoch  40 loss 6.3572 val_nll 6.5336 best 6.5274@38
epoch  41 loss 6.3639 val_nll 6.5016 best 6.5016@41
epoch  43 loss 6.3348 val_nll 6.4852 best 6.4852@43
epoch  45 loss 6.2983 val_nll 6.4823 best 6.4823@45
epoch  46 loss 6.3013 val_nll 6.4528 best 6.4528@46
epoch  49 loss 6.2670 val_nll 6.4473 best 6.4473@49
epoch  50 loss 6.2634 val_nll 6.4495 best 6.4473@49
epoch  51 loss 6.2538 val_nll 6.4399 best 6.4399@51
epoch  53 loss 6.2167 val_nll 6.4375 best 6.4375@53
epoch  54 loss 6.2244 val_nll 6.4157 best 6.4157@54
epoch  59 loss 6.1992 val_nll 6.3941 best 6.3941@59
epoch  60 loss 6.1666 val_nll 6.3965 best 6.3941@59
epoch  62 loss 6.1508 val_nll 6.3787 best 6.3787@62
epoch  64 loss 6.1302 val_nll 6.3586 best 6.3586@64
epoch  70 loss 6.0926 val_nll 6.3729 best 6.3586@64
epoch  75 loss 6.0440 val_nll 6.3529 best 6.3529@75
epoch  76 loss 6.0718 val_nll 6.3481 best 6.3481@76
epoch  77 loss 6.0429 val_nll 6.3399 best 6.3399@77
epoch  80 loss 6.0099 val_nll 6.3620 best 6.3399@77
epoch  88 loss 5.9752 val_nll 6.3355 best 6.3355@88
epoch  90 loss 5.9646 val_nll 6.3313 best 6.3313@90
epoch  93 loss 5.9365 val_nll 6.3190 best 6.3190@93
epoch 100 loss 5.9009 val_nll 6.3355 best 6.3190@93
epoch 105 loss 5.8740 val_nll 6.3155 best 6.3155@105
epoch 109 loss 5.8519 val_nll 6.3112 best 6.3112@109
epoch 110 loss 5.8638 val_nll 6.3218 best 6.3112@109
epoch 114 loss 5.8044 val_nll 6.3080 best 6.3080@114
epoch 120 loss 5.7826 val_nll 6.3237 best 6.3080@114
epoch 122 loss 5.8011 val_nll 6.3000 best 6.3000@122
epoch 129 loss 5.7485 val_nll 6.2983 best 6.2983@129
epoch 130 loss 5.7572 val_nll 6.3017 best 6.2983@129
epoch 140 loss 5.7027 val_nll 6.3017 best 6.2983@129
epoch 150 loss 5.6939 val_nll 6.3116 best 6.2983@129
early stop at epoch 154
[G2] model2_seed2: val MAP mean 0.1852 median 0.0915 | peak-sensor mean 0.3665 median 0.3458 | 0.02 GPU-h
distill seed 3: 4.87M params
/usr4/spclpgm/eric1/conformal-source-regions/src/train.py:284: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  tot_loss += float(loss)
epoch   0 loss 8.2864 val_nll 8.2452 best 8.2452@0
epoch   1 loss 8.2185 val_nll 8.1790 best 8.1790@1
epoch   2 loss 8.1462 val_nll 8.1368 best 8.1368@2
epoch   3 loss 8.1226 val_nll 8.1203 best 8.1203@3
epoch   4 loss 8.1062 val_nll 8.0945 best 8.0945@4
epoch   5 loss 8.0481 val_nll 7.9919 best 7.9919@5
epoch   6 loss 7.7950 val_nll 7.6551 best 7.6551@6
epoch   7 loss 7.4918 val_nll 7.4415 best 7.4415@7
epoch   8 loss 7.3409 val_nll 7.3346 best 7.3346@8
epoch   9 loss 7.2286 val_nll 7.2292 best 7.2292@9
epoch  10 loss 7.1348 val_nll 7.1820 best 7.1820@10
epoch  11 loss 7.0813 val_nll 7.1209 best 7.1209@11
epoch  12 loss 7.0233 val_nll 7.0704 best 7.0704@12
epoch  13 loss 6.9557 val_nll 7.0309 best 7.0309@13
epoch  14 loss 6.9152 val_nll 6.9858 best 6.9858@14
epoch  15 loss 6.8828 val_nll 6.9539 best 6.9539@15
epoch  16 loss 6.8410 val_nll 6.9176 best 6.9176@16
epoch  17 loss 6.7985 val_nll 6.8793 best 6.8793@17
epoch  18 loss 6.7887 val_nll 6.8463 best 6.8463@18
epoch  19 loss 6.7640 val_nll 6.8241 best 6.8241@19
epoch  20 loss 6.7298 val_nll 6.8087 best 6.8087@20
epoch  21 loss 6.7018 val_nll 6.7882 best 6.7882@21
epoch  22 loss 6.6783 val_nll 6.7701 best 6.7701@22
epoch  23 loss 6.6509 val_nll 6.7470 best 6.7470@23
epoch  24 loss 6.6245 val_nll 6.7160 best 6.7160@24
epoch  26 loss 6.6019 val_nll 6.7108 best 6.7108@26
epoch  28 loss 6.5688 val_nll 6.6718 best 6.6718@28
epoch  29 loss 6.5470 val_nll 6.6474 best 6.6474@29
epoch  30 loss 6.5364 val_nll 6.6376 best 6.6376@30
epoch  32 loss 6.4900 val_nll 6.6178 best 6.6178@32
epoch  33 loss 6.4858 val_nll 6.6152 best 6.6152@33
epoch  34 loss 6.4597 val_nll 6.5827 best 6.5827@34
epoch  37 loss 6.4158 val_nll 6.5612 best 6.5612@37
epoch  40 loss 6.3990 val_nll 6.5565 best 6.5565@40
epoch  41 loss 6.3747 val_nll 6.5479 best 6.5479@41
epoch  42 loss 6.3627 val_nll 6.5233 best 6.5233@42
epoch  44 loss 6.3486 val_nll 6.5207 best 6.5207@44
epoch  46 loss 6.3248 val_nll 6.5078 best 6.5078@46
epoch  48 loss 6.3013 val_nll 6.4761 best 6.4761@48
epoch  50 loss 6.2842 val_nll 6.5084 best 6.4761@48
epoch  51 loss 6.2581 val_nll 6.4730 best 6.4730@51
epoch  52 loss 6.2647 val_nll 6.4700 best 6.4700@52
epoch  53 loss 6.2430 val_nll 6.4651 best 6.4651@53
epoch  55 loss 6.2614 val_nll 6.4523 best 6.4523@55
epoch  57 loss 6.2138 val_nll 6.4247 best 6.4247@57
epoch  60 loss 6.1866 val_nll 6.4241 best 6.4241@60
epoch  64 loss 6.1650 val_nll 6.4058 best 6.4058@64
epoch  68 loss 6.1193 val_nll 6.4040 best 6.4040@68
epoch  70 loss 6.1280 val_nll 6.3783 best 6.3783@70
epoch  71 loss 6.0949 val_nll 6.3711 best 6.3711@71
epoch  77 loss 6.0701 val_nll 6.3669 best 6.3669@77
epoch  79 loss 6.0397 val_nll 6.3556 best 6.3556@79
epoch  80 loss 6.0562 val_nll 6.3663 best 6.3556@79
epoch  88 loss 5.9792 val_nll 6.3430 best 6.3430@88
epoch  90 loss 5.9632 val_nll 6.3472 best 6.3430@88
epoch  92 loss 5.9447 val_nll 6.3430 best 6.3430@92
epoch 100 loss 5.9006 val_nll 6.3396 best 6.3396@100
epoch 101 loss 5.9104 val_nll 6.3341 best 6.3341@101
epoch 102 loss 5.9019 val_nll 6.3308 best 6.3308@102
epoch 107 loss 5.8635 val_nll 6.3192 best 6.3192@107
epoch 109 loss 5.8677 val_nll 6.3131 best 6.3131@109
epoch 110 loss 5.8664 val_nll 6.3195 best 6.3131@109
epoch 111 loss 5.8255 val_nll 6.3005 best 6.3005@111
epoch 120 loss 5.7814 val_nll 6.3207 best 6.3005@111
epoch 124 loss 5.7833 val_nll 6.2993 best 6.2993@124
epoch 130 loss 5.7423 val_nll 6.3046 best 6.2993@124
epoch 140 loss 5.7240 val_nll 6.3141 best 6.2993@124
early stop at epoch 149
[G2] model2_seed3: val MAP mean 0.1777 median 0.0963 | peak-sensor mean 0.3665 median 0.3458 | 0.02 GPU-h
== evals (conformal + audit per model-seed) ==
[model_seed3] coverage@90 = 0.9120 CI [0.8987, 0.9241] contains 0.90: True | area mean 0.1845 median 0.0741
{
  "h2": {
    "spearman_area": 0.8536624602833103,
    "spearman_p": 0.0,
    "inefficiency_mean": 51.77992375290483,
    "inefficiency_median": 5.857201142390861
  },
  "map_error": {
    "learned_mean": 0.17375667934129996,
    "learned_median": 0.09773116394419565,
    "exact_mean": 0.16023777154216712,
    "exact_median": 0.022668104127897146,
    "peak_sensor_mean": 0.35560398282612177,
    "peak_sensor_median": 0.3150528444401277,
    "learned_p50_p90_p99": [
      0.09773116394419565,
      0.43231185128164096,
      0.7813440979322376
    ]
  },
  "nll_mean": 6.314043998718262,
  "jsd_mean": 0.557304682987248,
  "jsd_median": 0.6565631235895317,
  "latency_ms_per_scenario": 0.4918336868286133
}
[model2_seed2] coverage@90 = 0.8950 CI [0.8807, 0.9081] contains 0.90: True | area mean 0.2355 median 0.0544
{
  "h2": {
    "spearman_area": 0.8901026591564789,
    "spearman_p": 0.0,
    "inefficiency_mean": 31.0589648906339,
    "inefficiency_median": 4.113846153846154
  },
  "map_error": {
    "learned_mean": 0.1853360566926454,
    "learned_median": 0.09421657265948977,
    "exact_mean": 0.16023777154216712,
    "exact_median": 0.022668104127897146,
    "peak_sensor_mean": 0.35560398282612177,
    "peak_sensor_median": 0.3150528444401277,
    "learned_p50_p90_p99": [
      0.09421657265948977,
      0.49961860132134917,
      0.8676295999155064
    ]
  },
  "nll_mean": 6.298804759979248,
  "jsd_mean": 0.49933549697867746,
  "jsd_median": 0.6465727746623406,
  "latency_ms_per_scenario": 0.5122065544128418
}
[model2_seed3] coverage@90 = 0.8910 CI [0.8765, 0.9043] contains 0.90: True | area mean 0.2264 median 0.0518
{
  "h2": {
    "spearman_area": 0.8966527699297447,
    "spearman_p": 0.0,
    "inefficiency_mean": 29.361179956948344,
    "inefficiency_median": 4.02
  },
  "map_error": {
    "learned_mean": 0.1790199412013854,
    "learned_median": 0.09149265622984512,
    "exact_mean": 0.16023777154216712,
    "exact_median": 0.022668104127897146,
    "peak_sensor_mean": 0.35560398282612177,
    "peak_sensor_median": 0.3150528444401277,
    "learned_p50_p90_p99": [
      0.09149265622984512,
      0.47656084170937124,
      0.8064845959492855
    ]
  },
  "nll_mean": 6.269495964050293,
  "jsd_mean": 0.4999292650078189,
  "jsd_median": 0.6454098215950241,
  "latency_ms_per_scenario": 0.5018210411071777
}
== ablation table ==
{'model': 'M0', 'seed': 1, 'coverage': 0.875, 'area_med': 0.0684, 'ineff_med': 5.572, 'ineff_mean': 47.63, 'spearman': 0.848, 'jsd': 0.555, 'map_med': 0.1033}
{'model': 'M0', 'seed': 2, 'coverage': 0.896, 'area_med': 0.0729, 'ineff_med': 5.797, 'ineff_mean': 51.27, 'spearman': 0.851, 'jsd': 0.557, 'map_med': 0.0992}
{'model': 'M0', 'seed': 3, 'coverage': 0.912, 'area_med': 0.0741, 'ineff_med': 5.857, 'ineff_mean': 51.78, 'spearman': 0.854, 'jsd': 0.557, 'map_med': 0.0977}
{'model': 'M1', 'seed': 1, 'coverage': 0.8985, 'area_med': 0.053, 'ineff_med': 3.924, 'ineff_mean': 28.91, 'spearman': 0.893, 'jsd': 0.498, 'map_med': 0.094}
{'model': 'M1', 'seed': 2, 'coverage': 0.895, 'area_med': 0.0544, 'ineff_med': 4.114, 'ineff_mean': 31.06, 'spearman': 0.89, 'jsd': 0.499, 'map_med': 0.0942}
{'model': 'M1', 'seed': 3, 'coverage': 0.891, 'area_med': 0.0518, 'ineff_med': 4.02, 'ineff_mean': 29.36, 'spearman': 0.897, 'jsd': 0.5, 'map_med': 0.0915}
== figures ==
fig3 done
fig4 done
fig5 done (flagship scenario 39)
fig2 done (geometry scenario 0)
fig1 done
SEED STABILITY DONE
exit: 0
