nominal,conformal,raw_hpd
0.5000,0.5025,0.4310
0.5150,0.5170,0.4500
0.5300,0.5315,0.4670
0.5450,0.5475,0.4870
0.5600,0.5615,0.5080
0.5750,0.5730,0.5225
0.5900,0.5915,0.5435
0.6050,0.6015,0.5565
0.6200,0.6155,0.5730
0.6350,0.6305,0.5905
0.6500,0.6505,0.6015
0.6650,0.6665,0.6155
0.6800,0.6755,0.6375
0.6950,0.6885,0.6575
0.7100,0.7070,0.6745
0.7250,0.7215,0.6885
0.7400,0.7330,0.7090
0.7550,0.7435,0.7245
0.7700,0.7645,0.7365
0.7850,0.7755,0.7545
0.8000,0.7865,0.7745
0.8150,0.8045,0.7885
0.8300,0.8160,0.8070
0.8450,0.8230,0.8205
0.8600,0.8365,0.8360
0.8750,0.8535,0.8565
0.8900,0.8660,0.8735
0.9050,0.8835,0.8905
0.9200,0.9035,0.9095
0.9350,0.9275,0.9310
0.9500,0.9435,0.9515
0.9650,0.9620,0.9675
0.9800,0.9775,0.9835
